mesh 1_z,z mid [cm],"(n,p) [rxns]",flux*V [trks-cm],"(n,p) sd",flux*V sd,"(n,p) macro-xs [1/cm]","(n,p) micro-xs [b]","(n,p) mode [eV]",flux mode [eV]
57,0.565,0.0015900265796873739,0.0003000821088287721,2.598908069477146e-07,4.7945883936154614e-08,5.29863838231905,3183.1711279089595,0.0544406875,0.0695190625
58,0.575,0.0015026387016518579,0.00028462523642670844,2.598589340408287e-07,4.805713040499761e-08,5.279358641969157,3171.5887725174034,0.0544406875,0.0695190625
59,0.585,0.0014203007071105014,0.000269996147452294,2.456481448022489e-07,4.532469120553867e-08,5.260448049028019,3160.228183415355,0.057146312500000004,0.0695190625
60,0.595,0.0013427664902107637,0.0002561595524779802,2.2548639334231456e-07,4.192673613893816e-08,5.241914569343221,3149.094146106978,0.0544406875,0.06384456250000001
61,0.605,0.0012698572789453639,0.00024310270942886624,1.9872082788442803e-07,3.6767720067267e-08,5.22354227120177,3138.056939040281,0.06384456250000001,0.06384456250000001
62,0.615,0.001201147868736592,0.00023074707129573137,1.8826956982555204e-07,3.61650596554242e-08,5.20547395029413,3127.2023471068305,0.057146312500000004,0.06384456250000001
63,0.625,0.0011363599643477746,0.00021905277601267682,1.8475829955238107e-07,3.5669586510473175e-08,5.187608141893678,3116.469415101725,0.06384456250000001,0.06384456250000001
64,0.635,0.0010753470937384451,0.0002079887951526952,1.9848471948173525e-07,3.703154310304406e-08,5.170216467425458,3106.021320319873,0.06384456250000001,0.0684465625
65,0.645,0.0010178823458525368,0.00019753122193387026,2.0564513366805975e-07,3.8149457789575364e-08,5.153020043551924,3095.690522853079,0.0553571875,0.0684465625
66,0.655,0.0009636619764739107,0.00018762581748766875,2.0707275391351833e-07,3.836527061346715e-08,5.136084092143903,3085.5162049140454,0.0553571875,0.0684465625
67,0.665,0.0009124704835356463,0.0001782390611939069,1.8793409524556655e-07,3.538617193594287e-08,5.1193631599246725,3075.4710603256576,0.0591986875,0.0799466875
68,0.675,0.0008641954882099293,0.0001693525698912712,1.992034347738637e-07,3.70302084449231e-08,5.10293696024079,3065.6029770932787,0.0591986875,0.0684465625
69,0.685,0.0008186740106108549,0.0001609409139533655,1.9784592874532998e-07,3.7099000639664016e-08,5.086798567877372,3055.907794875613,0.0684465625,0.0684465625
